index,name,coordinates_lat,coordinates_long,categories,review_count,rating,Services
188,Panda Express,42.255783,-87.948262,chinese,26,2.0,"['delivery', 'pickup']"
189,Supermercado Vargas,42.2514512389898,-87.9965373873711,grocery,1,3.0,[]
190,Starbucks,42.240031,-87.971435,coffee,38,2.5,['delivery']
191,CVS Pharmacy,42.2373,-87.9949,drugstores,7,2.0,['delivery']
192,Starbucks,42.239182,-87.95664,coffee,7,3.5,['delivery']
193,Cinnabon,42.2408779,-87.9530145,desserts,4,3.0,[]
194,Dunkin',42.23668,-87.9934,coffee,1,2.0,['delivery']
195,Jimmy John's,42.2532029,-88.0008735,sandwiches,17,3.0,[]
196,Circle K,42.2359717,-87.994563,servicestations,4,3.0,[]
197,Baskin Robbins,42.242641,-87.949895,icecream,1,1.0,[]
198,Dairy Queen,42.252569,-87.999529,icecream,8,4.0,[]
199,Walgreens,42.2018172,-87.9324702,drugstores,16,3.0,[]
200,Starbucks,42.20319,-87.935169,coffee,38,3.5,['delivery']
201,El Barrio Restaurant & Lounge,42.2470321655273,-88.0036468505859,mexican,47,3.5,['delivery']
202,Los Magueyes Mexican Grill,42.253305,-88.001692,mexican,7,3.5,[]
203,Gloria Jean's Coffees,42.24531,-87.94977,coffee,15,3.0,"['pickup', 'delivery']"
204,McDonald's,42.2433348,-87.9494949,hotdogs,8,2.0,['delivery']
205,Dunkin',42.23772,-87.944902,donuts,46,1.5,[]
206,Auntie Anne's Pretzels,42.2428973392615,-87.9511278668212,pretzels,3,1.5,['delivery']
207,Walgreens,42.2593574,-87.9475533,drugstores,15,2.5,[]
208,Ernie's Food Mart & Carwash,42.20903,-87.93271,convenience,3,3.0,[]
209,Dunkin',42.253135,-88.020093,donuts,15,2.0,['delivery']
210,Edible Arrangements,42.242471,-87.978498,giftshops,3,1.5,[]
211,Omega Pancake House,42.2491039,-87.9939809,diners,17,2.5,[]
212,ALDI,42.2524576,-88.0197474,grocery,8,3.5,[]
213,Jani's Newstand,42.24316,-87.9541151,convenience,3,1.5,[]
214,Starbucks,42.255691,-87.948152,coffee,25,2.0,['delivery']
215,Dunkin',42.197669,-88.019592,donuts,9,2.5,['delivery']
216,Baskin-Robbins,42.253096,-88.020134,icecream,6,1.0,['delivery']
